date,process_id,process_type,owner_team,status,start_time,end_time,handling_minutes,error_rework,error_type,rework_cost,system_used,approval_required,final_outcome
2026-04-15,INV-1031,invoice,Finance,completed,09:03,09:15,12,no,,0,Xero,yes,paid
2026-04-15,INV-1032,invoice,Finance,completed,09:30,09:47,17,yes,wrong_supplier_code,42,Xero,yes,corrected
2026-04-15,INV-1033,invoice,Finance,completed,10:18,10:30,12,no,,0,Xero,yes,paid
2026-04-16,INV-1034,invoice,Finance,completed,08:59,09:12,13,no,,0,Xero,yes,paid
2026-04-16,INV-1035,invoice,Finance,completed,09:21,09:35,14,no,,0,Xero,yes,paid
2026-04-16,INV-1036,invoice,Finance,completed,11:11,11:31,20,yes,approval_delay,58,Xero,yes,corrected
2026-04-17,INV-1037,invoice,Finance,completed,09:02,09:14,12,no,,0,Xero,yes,paid
2026-04-17,INV-1038,invoice,Finance,completed,09:25,09:36,11,no,,0,Xero,yes,paid
2026-04-17,INV-1039,invoice,Finance,completed,10:30,10:43,13,no,,0,Xero,yes,paid
2026-04-20,INV-1040,invoice,Finance,completed,09:00,09:12,12,no,,0,Xero,yes,paid
2026-04-20,INV-1041,invoice,Finance,completed,09:16,09:29,13,no,,0,Xero,yes,paid
2026-04-20,INV-1042,invoice,Finance,completed,10:04,10:24,20,yes,missing_purchase_order,48,Xero,yes,corrected
2026-04-21,INV-1043,invoice,Finance,completed,09:08,09:20,12,no,,0,Xero,yes,paid
2026-04-21,INV-1044,invoice,Finance,completed,09:34,09:46,12,no,,0,Xero,yes,paid
2026-04-21,INV-1045,invoice,Finance,completed,13:09,13:25,16,no,,0,Xero,yes,paid
2026-04-22,INV-1046,invoice,Finance,completed,09:04,09:16,12,no,,0,Xero,yes,paid
2026-04-22,INV-1047,invoice,Finance,completed,09:29,09:48,19,yes,duplicate_check,54,Xero,yes,corrected
2026-04-22,INV-1048,invoice,Finance,completed,10:20,10:33,13,no,,0,Xero,yes,paid
2026-04-23,INV-1049,invoice,Finance,completed,09:07,09:18,11,no,,0,Xero,yes,paid
2026-04-23,INV-1050,invoice,Finance,completed,09:27,09:42,15,no,,0,Xero,yes,paid
2026-04-23,INV-1051,invoice,Finance,completed,11:03,11:18,15,no,,0,Xero,yes,paid
2026-04-24,INV-1052,invoice,Finance,completed,08:56,09:07,11,no,,0,Xero,yes,paid
2026-04-24,INV-1053,invoice,Finance,completed,09:16,09:34,18,yes,wrong_supplier_code,44,Xero,yes,corrected
2026-04-24,INV-1054,invoice,Finance,completed,10:12,10:25,13,no,,0,Xero,yes,paid
2026-04-27,INV-1055,invoice,Finance,completed,09:02,09:14,12,no,,0,Xero,yes,paid
2026-04-27,INV-1056,invoice,Finance,completed,09:24,09:38,14,no,,0,Xero,yes,paid
2026-04-27,INV-1057,invoice,Finance,completed,10:01,10:20,19,yes,approval_delay,62,Xero,yes,corrected
2026-04-28,INV-1058,invoice,Finance,completed,09:09,09:21,12,no,,0,Xero,yes,paid
2026-04-28,INV-1059,invoice,Finance,completed,09:30,09:43,13,no,,0,Xero,yes,paid
2026-04-28,INV-1060,invoice,Finance,completed,13:14,13:28,14,no,,0,Xero,yes,paid
